Name,Link
Hi Temp Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c574e1e4b041b4edd4d5c3.html
Avisa Group,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c573bee4b041b4edd4d552.html
THE LUXE CARDS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5739be4b041b4edd4d533.html
Impex Hi-Tech Rubber Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c572fae4b041b4edd4d4ca.html
GREENERY SERVICES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c572d4e4b041b4edd4d4bb.html
Shubham Pawar,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5dfa3c49e4b0265274429a02.html
HANSEL ENTERPRISES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4c39de4b041b4edd4b36c.html
Rakesh Naveen,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5afbd99ce4b0874abc75cca4.html
seafarerschoice private limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4c094e4b041b4edd4b2e4.html
SRI ADIKESAVA TRADERS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4c00be4b041b4edd4b2d0.html
ZealForge Lab's Automation Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4be65e4b041b4edd4b269.html
Himanshu Yadav,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5ad9824fe4b04f23ea904ae5.html
Byte Avenue,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4bcc8e4b041b4edd4b220.html
Petner,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4bbace4b041b4edd4b1e2.html
Versatile Star,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b873e4b041b4edd4b113.html
PINscale Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5316ae4b041b4edd4bf3e.html
Aspire Diagnoline Pvt ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5314ce4b041b4edd4bf38.html
Oniduk Retails Private limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5305ee4b041b4edd4bf1a.html
SHREE MISHRA GROUP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5282ce4b041b4edd4be50.html
Ishant Agarwal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b166ae3e4b04f0864e06e7b.html
SPACEROLLS AEROSPACE TECHNOLOGIES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4f95be4b041b4edd4ba49.html
Flippin.in,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4d764e4b041b4edd4b6b6.html
The great Indian travel Co.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4d56fe4b041b4edd4b671.html
Growexx,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4d0e9e4b041b4edd4b5db.html
BEWOTCHED BOUTIQUE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59c49e4b041b4edd4e1a1.html
Eduvrata LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59bbee4b041b4edd4e171.html
SHAIK BABA FAKRUDDIN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59a81e4b041b4edd4e109.html
Artizen Agro India Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59949e4b041b4edd4e08f.html
KEYURI INDUSTRIES LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59932e4b041b4edd4e083.html
SURYA BUILDERS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59420e4b041b4edd4df14.html
Compix Multimedia,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c593a2e4b041b4edd4defe.html
Xida Technology Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59377e4b041b4edd4deee.html
CAP A DAY Brands Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59320e4b041b4edd4ded3.html
Origa Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5576fe4b041b4edd4c941.html
Kranti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5575de4b041b4edd4c93b.html
Acumen Systems Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c555efe4b041b4edd4c8a8.html
Lovely Morgan OPC Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c54e58e4b041b4edd4c66a.html
Vacus Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c54e2ee4b041b4edd4c65b.html
Hydra Solutions Pvt. Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c54c81e4b041b4edd4c5bf.html
Ramachandran Biofuels Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c546ace4b041b4edd4c45c.html
Mehul Balasara,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c54304e4b041b4edd4c2d8.html
BhadePee.com,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c535d4e4b041b4edd4bffb.html
Parlore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b819e4b041b4edd4b0fa.html
JYOTI DEVI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b4f5e4b041b4edd4b01a.html
Rakesh Parte,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5c73860ae4b0ba900e127f8d.html
Wassan Kart,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b1fee4b041b4edd4af5e.html
AAJWA CONSTRUCTION AND MANPOWER PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b1b3e4b041b4edd4af49.html
Quanto Active Management Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b197e4b041b4edd4af40.html
GIDEONS DIGITAL AGENCY PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4b04ae4b041b4edd4af01.html
Alkmen Lifecare Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4add7e4b041b4edd4ae64.html
viraaj facility management services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4ad9ae4b041b4edd4ae49.html
ACHIEVEX SOLUTIONS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a67ce4b041b4edd4e516.html
AAAS BUILDWELL PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a2f6e4b041b4edd4e3b7.html
MOANINGBIRDS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a1c0e4b041b4edd4e358.html
Ganesh Agro Processing and Trading,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a02be4b041b4edd4e29d.html
TECHNEX SOLUTIONS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a007e4b041b4edd4e28f.html
SUPRA GARMENTS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59ff1e4b041b4edd4e288.html
Meta Jupiter Software Solutions Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59ebce4b041b4edd4e235.html
COREIP TECHNOLOGY PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59e58e4b041b4edd4e228.html
EWR LOGISTICS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59ccee4b041b4edd4e1b8.html
Shiman industries,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c49754e4b041b4edd4a8b2.html
CREW WECARE PVT. LTD.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c490e6e4b041b4edd4a75b.html
Croplly,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c48f98e4b041b4edd4a707.html
AnalytixHire India Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c48ddde4b041b4edd4a6b5.html
Useify,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c48c24e4b041b4edd4a627.html
CLOUDTECHTIQ ENTERPRISES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c48aa6e4b041b4edd4a599.html
Mallika bardia,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61973933e4b0cb4c4c0d7780.html
OD OFFICE SOLUTION,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c488e2e4b041b4edd4a4d3.html
TOMORROW FASHION,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c48772e4b041b4edd4a46c.html
My Digital Doctor,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56996e4b041b4edd4d17e.html
xanalia nft,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56918e4b041b4edd4d14e.html
Chem Brighten Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c566d1e4b041b4edd4d088.html
SquareDrop,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5c52e985e4b0ba900e0b1595.html
FANCY AND CLASSY SOLUTIONS PVT. LTD.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56297e4b041b4edd4cebd.html
InDesign Private Limited.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56288e4b041b4edd4ceaa.html
Genuinefolks,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56141e4b041b4edd4ce1d.html
White Bell Global PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5608be4b041b4edd4cdaa.html
SSSPAY SERVICE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56070e4b041b4edd4cd9c.html
Charisma School,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5b304e4b041b4edd4e949.html
Matoyi,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5b176e4b041b4edd4e893.html
Road Radar Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5b069e4b041b4edd4e84e.html
Crop Matrix Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5b05ee4b041b4edd4e848.html
CRE OFFICE SPACE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5b055e4b041b4edd4e844.html
MISHUK ELECTRICALS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5abe8e4b041b4edd4e6f1.html
ARJOI RETAIL PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5aa14e4b041b4edd4e622.html
Encrate Pvt ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a927e4b041b4edd4e5d8.html
Animal Legacy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c5a752e4b041b4edd4e559.html
Allway Distributions PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57136e4b041b4edd4d407.html
Bhopal Dairy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56fb5e4b041b4edd4d38a.html
Dodo Original,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56e54e4b041b4edd4d340.html
SWECHA HEALTH CARE PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56e2fe4b041b4edd4d32a.html
The Living Soul Products,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56df3e4b041b4edd4d310.html
OTOBIX SOLUTIONS LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56c9de4b041b4edd4d281.html
R V INFRASTRUCTURE ENTERPRISE LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56c9ce4b041b4edd4d27e.html
santosh and company,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56b6fe4b041b4edd4d20b.html
Itana Industries (opc) private limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c56ad2e4b041b4edd4d1d5.html
GANGA CREATIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58124e4b041b4edd4d9f7.html
W2W - Waste 2 Wealth,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58110e4b041b4edd4d9e9.html
VAANUURTHI AVIATION PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57ff4e4b041b4edd4d9b8.html
ULTRAEON INDUSTRIES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57ea6e4b041b4edd4d95f.html
DoorDentist - Dentist at your Doorstep,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57caee4b041b4edd4d89c.html
Vain innovation,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57b5ee4b041b4edd4d83e.html
KALRA &amp; ASSOCIATES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57b41e4b041b4edd4d834.html
IMV Projects (OPC) Pvt. Ltd.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57abce4b041b4edd4d80a.html
DADA RAMSAR PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c57952e4b041b4edd4d772.html
KRUSHIX FARMER PRODUCER COMPANY LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c59304e4b041b4edd4decc.html
SALADY SEVEN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c590afe4b041b4edd4de28.html
High Root Ventures LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58ec2e4b041b4edd4ddb0.html
Brahmaputra TechnoPharmaceuticals Pvt. Ltd.,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58b59e4b041b4edd4dcd1.html
XRSim,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58a6ae4b041b4edd4dc91.html
Top Dog,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58a14e4b041b4edd4dc70.html
SUGANDHAM HYBRID SEEDS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c581d9e4b041b4edd4da2e.html
Monotosh Saha,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61bc70b3e4b0d556fca53246.html
DRE Motors,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c58125e4b041b4edd4d9fb.html
Encyclofoodia Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4a6cce4b041b4edd4ac4a.html
Samosa Stations,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4a6a0e4b041b4edd4ac38.html
The Diode,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4a623e4b041b4edd4ac1c.html
Tanna Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5da0e7aae4b0fdee1a8cd0f4.html
Revive Digital,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4a441e4b041b4edd4ab95.html
M AND M FOODS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5c19e7b0e4b0193484574ec0.html
Gravity Business Solutions,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4a386e4b041b4edd4ab67.html
Soap Gel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c4989ae4b041b4edd4a906.html
VIRTUAL HTECHNO,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c49782e4b041b4edd4a8bc.html
